frame,x1,y1,x2,y2
400,117,72,21,16,0
400,461,165,542,226,1
400,592,51,639,94,2
401,560,51,616,92,3
401,414,166,515,231,4
402,382,161,482,233,5
402,515,52,580,98,6
403,361,162,446,230,7
403,493,60,553,94,8
404,318,161,414,236,9
404,463,61,517,102,10
405,288,161,378,234,11
405,432,64,479,97,12
405,577,25,625,56,13
406,257,169,333,236,14
406,393,70,437,103,15
406,539,22,589,54,16
407,219,168,304,246,17
407,355,68,405,104,18
407,513,22,554,58,19
408,186,163,274,239,20
408,327,75,373,111,21
408,470,31,523,62,22
409,152,174,228,242,23
409,291,79,345,116,24
409,433,36,484,68,25
410,116,179,208,243,26
410,249,81,298,114,27
410,407,37,456,75,28
411,71,179,192,248,29
411,223,84,272,115,30
411,368,38,420,69,31
412,56,184,130,257,32
412,187,88,223,118,33
412,326,38,369,68,34
413,27,192,107,258,35
413,149,98,198,127,36
413,296,46,348,69,37
413,586,238,639,284,38
414,84,187,6,252,39
414,121,96,170,126,40
414,266,49,306,83,41
414,547,232,621,288,42
415,69,97,127,127,43
415,227,52,273,83,44
415,514,242,576,287,45
416,51,111,95,139,46
416,183,56,237,87,47
416,151,25,199,1,48
416,472,241,545,293,49
417,112,2,177,24,50
417,60,106,12,142,51
417,439,247,500,294,52
418,397,253,467,296,53
418,158,56,196,84,53
418,128,25,70,1,54
418,123,60,159,87,55
419,43,4,94,31,56
419,96,62,122,93,57
420,7,8,58,36,58
420,55,64,88,96,59
421,281,253,359,309,60
421,598,119,639,151,61
422,239,258,321,310,62
422,556,119,637,164,63
422,585,179,638,203,64
422,563,281,610,303,65
423,205,266,285,319,66
423,524,131,603,167,67
423,551,182,595,210,68
424,159,267,232,315,69
424,477,128,562,167,70
424,594,124,638,181,71
425,128,276,192,320,72
425,441,134,515,170,73
425,549,126,619,178,74
426,95,269,146,323,75
426,405,136,485,172,76
426,512,119,584,195,77
400,112,65,15,9,78
405,117,22,36,0,79
407,32,27,2,0,80
419,439,303,362,253,81
420,390,307,319,256,82
406,75,29,0,0,83
427,472,132,551,188,84
428,428,137,516,202,85
429,390,146,481,201,86
430,355,144,439,207,87
431,309,140,396,209,88
432,268,146,358,214,89
433,232,154,317,218,90
434,191,159,272,219,91
435,152,157,239,224,92
436,116,160,188,230,93
437,76,165,152,231,94
438,36,169,109,232,95
439,70,170,24,229,96
440,540,100,635,176,97
441,504,113,613,186,98
442,466,116,562,188,99
443,413,113,528,188,100
444,371,116,483,191,101
445,327,119,444,194,102
446,283,124,394,198,103
447,245,127,355,207,104
448,198,133,314,204,105
449,156,137,267,209,106
450,112,138,225,214,107
451,80,144,186,216,108
452,41,150,141,222,109
453,18,154,107,218,110
459,523,190,639,212,111
460,475,192,637,211,112
461,432,196,634,217,113
462,386,197,628,216,114
463,356,204,586,227,115
464,313,206,534,229,116
465,259,212,496,230,117
466,510,239,570,260,118
467,178,222,396,233,119
467,471,247,527,264,120
539,117,299,277,417,121
